Location,Bedrooms,Bathrooms,Amenities,Price
"Brookside drive, Westlands Area, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
Muthaiga,4,,[],Price not communicated
"lavington, Lavington",4,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"westlands, Westlands Area, Westlands",2,3,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']"," 205,000
 / mont"
"School Lane, Westlands Area, Westlands",2,2,"['Backup Generator', 'Swimming Pool']"," 160,000
 / mont"
"kilimani, Kilimani",2,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 200,000
 / mont"
"Parklands, Westlands",4,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Gated Community', 'Parking', 'Service Charge Included']"," 120,000
 / mont"
"Runda, Westlands",4,5,"['CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 400,000
 / mont"
"Runda, Westlands",5,6,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 520,000
 / mont"
Kileleshwa,2,,"['Kids Play Area', 'Lift/Elevator', 'Parking', 'Shopping Centre', 'Swimming Pool']"," 285,000
 / mont"
"Westlands Area, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'CCTV', 'Electric Fence', 'Garden', 'Gym', 'Serviced']"," 45,000
 / mont"
Ngong Road,,,"['Alarm', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 40,000
 / mont"
"riverside, Riverside, Westlands",3,4,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 250,000
 / mont"
"Riverside Drive, Riverside, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 120,000
 / mont"
,,,[],
"kileleshwa, Kileleshwa",2,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']"," 220,000
 / mont"
"kileleshwa, Kileleshwa",2,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']"," 220,000
 / mont"
"Nyari, Westlands",4,,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 600,000
 / mont"
"Riverside drive, Riverside, Westlands",,,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking']"," 39,450
 / mont"
"Runda, Westlands",5,5,"['BBQ', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Runda, Westlands",5,5,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 520,000
 / mont"
Karen,6,6,"['Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 550,000
 / mont"
"Rosslyn, Westlands",4,5,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 390,000
 / mont"
